systemId,Code,Quantity,Amount,Sale Date,Transaction ID
6414,1081,6,236.280000000,2022-03-09,382417
19653,1120,500,7050.000000000,2022-03-09,382103
5632,1057,16,539.840000000,2022-03-09,382442
26255,1058,3,81.300000000,2022-03-09,382454
23453,614,1,199.990000000,2022-03-09,382441
23453,1058,9,268.740000000,2022-03-09,382441
21259,9525,12,133.320000000,2022-03-09,382158
19329,850,1,42.870000000,2022-03-09,382369
19329,1058,1,29.810000000,2022-03-09,382369
19329,1101,8,310.560000000,2022-03-09,382369
19329,1116,3,31.590000000,2022-03-09,382369
19329,9574,1,59.110000000,2022-03-09,382369
20636,1057,32,980.160000000,2022-03-09,382344
21050,9525,12,133.320000000,2022-03-09,382388
19369,1120,10,193.800000000,2022-03-09,382430
19369,9525,12,133.320000000,2022-03-09,382430
27252,9549,22,186.780000000,2022-03-09,382159
22913,9524,20,132.200000000,2022-03-09,382431
22913,9525,12,133.320000000,2022-03-09,382431
23420,9524,20,132.200000000,2022-03-09,382433
23420,9525,12,133.320000000,2022-03-09,382433
18351,9525,12,133.320000000,2022-03-09,382391
26305,9525,60,666.600000000,2022-03-09,382348
26305,9527,16,0.000000000,2022-03-09,382393
16041,1117,18,225.180000000,2022-03-09,382248
16041,9524,40,255.200000000,2022-03-09,382248
16041,9525,72,799.920000000,2022-03-09,382248
16041,9527,32,326.720000000,2022-03-09,382248
16041,9528,60,390.600000000,2022-03-09,382248
16041,1116,36,0.000000000,2022-03-09,382392
16041,9549,44,0.000000000,2022-03-09,382392
27362,594,2,65.980000000,2022-03-09,382426
11956,1120,20,362.000000000,2022-03-09,382456
16891,9525,12,133.320000000,2022-03-09,382481
16891,9527,16,158.880000000,2022-03-09,382481
17304,1048,6,261.840000000,2022-03-09,382147
16038,9564,1,31.990000000,2022-03-09,382423
26233,594,1,23.790000000,2022-03-09,382489
16111,9337,2,47.640000000,2022-03-09,382193
26996,614,1,203.220000000,2022-03-09,382411
26996,1058,6,174.300000000,2022-03-09,382411
18681,9525,36,399.960000000,2022-03-09,382213
21779,9525,12,133.320000000,2022-03-09,382351
21779,9549,22,186.780000000,2022-03-09,382351
1671,1117,54,697.680000000,2022-03-09,382229
24420,9337,6,156.480000000,2022-03-09,382338
20068,850,4,156.000000000,2022-03-09,382321
6643,9337,6,149.220000000,2022-03-09,382330
14652,1120,10,193.800000000,2022-03-09,382509
14652,9524,20,132.200000000,2022-03-09,382509
14652,9527,16,158.880000000,2022-03-09,382509
21474,9344,1,4.000000000,2022-03-09,382505
26970,9344,1,6.000000000,2022-03-09,382506
19939,9545,1,0.000000000,2022-03-09,381062
19939,9546,1,0.000000000,2022-03-09,381062
19939,9547,1,0.000000000,2022-03-09,381062
19939,9548,1,0.000000000,2022-03-09,381062
19939,9563,1,0.000000000,2022-03-09,381062
5398,594,2,61.480000000,2022-03-09,382643
27159,9337,4,99.960000000,2022-03-09,382711
24492,1057,24,735.120000000,2022-03-10,382701
15403,594,12,395.880000000,2022-03-10,382534
15403,1058,6,174.300000000,2022-03-10,382534
11325,1095,18,725.400000000,2022-03-10,382593
22657,1057,8,245.040000000,2022-03-10,382666
5249,1120,1,18.080000000,2022-03-10,382625
6675,9549,22,183.260000000,2022-03-10,382706
16715,9525,24,250.800000000,2022-03-10,382501
16715,9528,20,121.600000000,2022-03-10,382501
17221,9524,20,132.200000000,2022-03-10,382722
17221,9525,12,133.320000000,2022-03-10,382722
17221,9549,22,186.780000000,2022-03-10,382722
21969,9524,20,132.200000000,2022-03-10,382723
21411,1120,10,193.800000000,2022-03-10,382720
27367,1116,18,202.500000000,2022-03-10,382570
27367,1117,18,232.560000000,2022-03-10,382570
27367,9525,12,133.320000000,2022-03-10,382570
27367,9549,22,186.780000000,2022-03-10,382570
24137,9524,20,132.200000000,2022-03-10,382537
24137,9525,12,133.320000000,2022-03-10,382537
17080,9524,20,132.200000000,2022-03-10,382558
17080,9525,24,266.640000000,2022-03-10,382558
17080,9549,22,186.780000000,2022-03-10,382558
17198,1120,10,193.800000000,2022-03-10,382518
17198,9524,20,132.200000000,2022-03-10,382518
17198,9525,12,133.320000000,2022-03-10,382518
5604,594,24,691.680000000,2022-03-10,382549
5604,1058,6,172.920000000,2022-03-10,382549
21337,594,6,187.800000000,2022-03-10,382730
25833,594,10,313.000000000,2022-03-10,382668
25833,850,2,83.160000000,2022-03-10,382668
5019,9337,12,291.840000000,2022-03-10,382596
21988,850,4,157.800000000,2022-03-10,382556
21988,9547,5,232.150000000,2022-03-10,382556
18857,9337,6,142.920000000,2022-03-10,382499
17078,9337,6,156.480000000,2022-03-10,382568
9892,594,18,593.820000000,2022-03-10,382727
9892,1058,6,174.300000000,2022-03-10,382727
18258,9525,12,133.320000000,2022-03-10,382548
18258,1120,10,172.900000000,2022-03-10,382685
18250,9525,24,266.640000000,2022-03-10,382544
18250,1120,20,345.800000000,2022-03-10,382681
16611,594,3,102.900000000,2022-03-10,382778
19244,1057,8,262.800000000,2022-03-10,382638
18104,1117,18,232.560000000,2022-03-10,382519
18104,9524,20,132.200000000,2022-03-10,382519
18104,9527,16,158.880000000,2022-03-10,382519
18104,9549,22,186.780000000,2022-03-10,382519
11416,1120,10,193.800000000,2022-03-10,382540
11416,9527,16,158.880000000,2022-03-10,382540
11416,9577,22,213.400000000,2022-03-10,382540
25528,1112,3,23.430000000,2022-03-10,382692
25442,594,6,197.940000000,2022-03-10,382768
25442,850,4,166.320000000,2022-03-10,382768
26026,1120,30,581.400000000,2022-03-10,382700
